"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"160","ABIE.BAL",0.18,1,1,0.75,0.01
"161","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.75,0.01
"162","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.75,0.01
"163","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.75,0.01
"164","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.75,0.01
"165","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.75,0.01
"166","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.75,0.01
"167","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.75,0.01
"168","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.75,0.01
"169","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.75,0.01
"170","ABIE.BAL",0.18,1,1,0.8,0.01
"171","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.8,0.01
"172","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.8,0.01
"173","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.8,0.01
"174","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.8,0.01
"175","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.8,0.01
"176","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.8,0.01
"177","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.8,0.01
"178","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.8,0.01
"179","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.8,0.01
"180","ABIE.BAL",0.18,1,1,0.85,0.01
"181","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.85,0.01
"182","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.85,0.01
"183","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.85,0.01
"184","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.85,0.01
"185","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.85,0.01
"186","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.85,0.01
"187","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.85,0.01
"188","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.85,0.01
"189","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.85,0.01
"190","ABIE.BAL",0.18,1,1,0.9,0.01
"191","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.9,0.01
"192","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.9,0.01
"193","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.9,0.01
"194","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.9,0.01
"195","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.9,0.01
"196","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.9,0.01
"197","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.9,0.01
"198","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.9,0.01
"199","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.9,0.01
"200","ABIE.BAL",0.18,1,1,0.95,0.01
"201","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.95,0.01
"202","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.95,0.01
"203","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.95,0.01
"204","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.95,0.01
"205","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.95,0.01
"206","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.95,0.01
"207","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.95,0.01
"208","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.95,0.01
"209","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.95,0.01
"210","ABIE.BAL",0.18,1,1,1,0.01
"211","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,1,0.01
"212","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,1,0.01
"213","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,1,0.01
"214","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,1,0.01
"215","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,1,0.01
"216","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,1,0.01
"217","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,1,0.01
"218","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,1,0.01
"219","ABIE.BAL",1,5.59144650261084,5.59144650261084,1,0.01
"220","ABIE.BAL",0.18,1,1,0.5,0.015
"221","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.5,0.015
"222","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.5,0.015
"223","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.5,0.015
"224","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.5,0.015
"225","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.5,0.015
"226","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.5,0.015
"227","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.5,0.015
"228","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.5,0.015
"229","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.5,0.015
"230","ABIE.BAL",0.18,1,1,0.55,0.015
"231","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.55,0.015
"232","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.55,0.015
"233","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.55,0.015
"234","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.55,0.015
"235","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.55,0.015
"236","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.55,0.015
"237","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.55,0.015
"238","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.55,0.015
"239","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.55,0.015
"240","ABIE.BAL",0.18,1,1,0.6,0.015
"241","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.6,0.015
"242","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.6,0.015
"243","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.6,0.015
"244","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.6,0.015
"245","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.6,0.015
"246","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.6,0.015
"247","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.6,0.015
"248","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.6,0.015
"249","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.6,0.015
"250","ABIE.BAL",0.18,1,1,0.65,0.015
